Name,Description,Image,DNA,edition,Date,Artist,Type,Accessories,Manufacturer,Compiler,Developer
CSM #29,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/29,e7839edecd87edd769505d8c27f2af0a0adb300b,29,1635281245044,alwoenie,Female Humanoid,"Black_Lipstick, Gold_Chain, White_Fedoora, Laser_Shades",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #47,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/47,ec740e72bf3faa8dda4ee6ccdb5efdc09337b2e5,47,1635280890798,alwoenie,Female Humanoid,"Rosy_Cheeks, Half_Shaved, Eye_Patch, Pipe",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #20,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/20,44c7266ac3a0d1bbcb8a182245f8daf3dd53e8d0,20,1635281047050,alwoenie,Female Humanoid,"Mole, Gold_Chain, Earring, Snapback",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #23,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/23,f3c13d8dee0caa260c5c3de70e556ebd0201d71e,23,1635280607536,alwoenie,Male Humanoid,"Bald, Nerd_Glasses",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #25,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/25,c9279e233c11c10f52d25d7e6b6a01575986d470,25,1635280369566,alwoenie,Male Humanoid,"Mole, Earring, Headband, Small_Shades",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #56,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/56,26d6a75abdb8a44922da91abeb8a78e8e9fba8a6,56,1635281069957,alwoenie,Female Humanoid,"Mole, Earring, White_Fedoora, 3D_Glasses",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #8,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/8,eb45d932b6a62e3356b3661c154cd2af80b2e83b,8,1635280761760,alwoenie,Male Humanoid,"Beanie, Medical_Mask",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #15,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/15,de9889fc76922a6c6870a33efb29e9a60d04e222,15,1635280894236,alwoenie,Female Humanoid,"Earring, Mohawk_Dark, Eye_Patch, Cigar",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #44,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/44,20993f46c51202e903981359e7e62c3576cc1bb5,44,1635281319354,alwoenie,Female Humanoid,"Green_Eye_Shadow, Earring, Amish_Hat, VR, Cigar",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
CSM #4,Non-Fungible Cyborg-Assassins Symbolizing the Fight for The Open Metaverse.,https://mint.etherminators.com/media/png/4,e27e227f331623cebbf8c990647c851a9c0e30e4,4,1635280533996,alwoenie,Male Humanoid,"Normal_Beard, Snapback",Cryptodyne Systems,HashLips Art Engine - @NFTChef Fork,NFTChef
